date,feature_index,CO
2026-06-17T00:00:00.000Z,0,0.03416835516691208
2026-06-12T00:00:00.000Z,0,
2026-02-04T00:00:00.000Z,0,0.028490545228123665
2026-02-05T00:00:00.000Z,0,0.024953884072601795
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,0.027075165882706642
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,0.03311863727867603
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,0.028858543373644352
2025-09-15T00:00:00.000Z,0,0.026664020493626595
2025-09-14T00:00:00.000Z,0,0.034433215856552124
2025-09-19T00:00:00.000Z,0,0.020567224361002445
2025-09-13T00:00:00.000Z,0,0.035440877079963684
2025-09-17T00:00:00.000Z,0,0.030977826565504074
2026-04-06T00:00:00.000Z,0,0.021799445152282715
2026-04-02T00:00:00.000Z,0,
2026-04-05T00:00:00.000Z,0,0.02620010171085596
2026-04-04T00:00:00.000Z,0,0.03052770532667637
2026-04-08T00:00:00.000Z,0,0.029242319986224174
2026-04-01T00:00:00.000Z,0,0.029835352674126625
2026-04-03T00:00:00.000Z,0,0.027631031349301338
2026-04-07T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,0.031579095870256424
2026-03-30T00:00:00.000Z,0,
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,
2026-03-25T00:00:00.000Z,0,
2026-03-29T00:00:00.000Z,0,0.031195683404803276
2026-06-22T00:00:00.000Z,0,0.03199971653521061
2026-06-26T00:00:00.000Z,0,0.029431205242872238
2026-06-20T00:00:00.000Z,0,0.03354112431406975
2026-06-21T00:00:00.000Z,0,0.032445795834064484
2026-06-27T00:00:00.000Z,0,0.028271296992897987
2026-06-23T00:00:00.000Z,0,0.03200116101652384
2026-06-24T00:00:00.000Z,0,0.032348670065402985
2026-06-25T00:00:00.000Z,0,0.02607250027358532
2026-07-28T00:00:00.000Z,0,
2026-07-24T00:00:00.000Z,0,0.027652992866933346
2026-07-25T00:00:00.000Z,0,0.044560614973306656
2026-07-26T00:00:00.000Z,0,0.03959741070866585
2026-07-22T00:00:00.000Z,0,0.034095704555511475
2026-07-29T00:00:00.000Z,0,0.032749779522418976
2026-07-23T00:00:00.000Z,0,0.029398635029792786
2026-07-27T00:00:00.000Z,0,0.028863342478871346
2026-02-03T00:00:00.000Z,0,0.02619950659573078
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,0.03593632020056248
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,
2026-02-02T00:00:00.000Z,0,0.03175399638712406
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,0.03396330028772354
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,0.02515180967748165
2026-01-02T00:00:00.000Z,0,0.02901984378695488
2025-12-28T00:00:00.000Z,0,0.02501596510410309
2025-12-30T00:00:00.000Z,0,
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,0.034398116171360016
2026-03-05T00:00:00.000Z,0,0.027336587198078632
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,0.028521856293082237
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,0.028073061257600784
2026-07-02T00:00:00.000Z,0,0.03325459361076355
2026-07-04T00:00:00.000Z,0,0.02658064290881157
2026-07-03T00:00:00.000Z,0,0.03300459310412407
2026-07-01T00:00:00.000Z,0,
2026-06-29T00:00:00.000Z,0,0.0313946008682251
2026-06-30T00:00:00.000Z,0,0.026640512980520725
2026-07-05T00:00:00.000Z,0,0.03785131499171257
2026-06-28T00:00:00.000Z,0,0.02917354367673397
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,0.029358341358602047
2025-10-02T00:00:00.000Z,0,
