date,SO2
2026-01-17,
2026-01-15,
2026-01-11,
2026-01-14,
2026-01-13,
2026-01-16,1.7701029719319195e-05
2026-01-18,-7.667854515602812e-05
2026-01-12,
2026-02-14,
2026-02-13,
2026-02-16,4.404855644679628e-05
2026-02-19,
2026-02-18,
2026-02-15,7.855642616050318e-05
2026-02-12,
2026-02-17,
2026-06-22,-2.2339947463478893e-05
2026-06-26,
2026-06-20,0.0006557634915225208
2026-06-21,0.00011002619430655614
2026-06-27,
2026-06-23,0.0003301667020423338
2026-06-24,
2026-06-25,2.6579794166536885e-05
2025-12-15,
2025-12-10,
2025-12-16,-0.0002111839276039973
2025-12-17,0.00010328955977456644
2025-12-12,-0.00011294423165963964
2025-12-13,
2025-12-11,
2025-12-14,
2026-01-23,
2026-01-25,0.00013864104403182864
2026-01-19,-4.376118158688769e-05
2026-01-21,
2026-01-22,
2026-01-26,
2026-01-20,
2026-01-24,
2026-05-08,0.0005933877691859379
2026-05-06,0.0006277732318267226
2026-05-10,0.00013506233517546207
2026-05-03,
2026-05-07,-3.456479225860676e-05
2026-05-09,3.211943112546578e-05
2026-05-04,0.00021168812236282972
2026-05-05,
2026-06-06,
2026-06-11,0.00031419442530022934
2026-06-05,0.00015227525000227615
2026-06-07,-0.0004877335159108042
2026-06-10,0.00016998725186567754
2026-06-09,-0.00011336914030835032
2026-06-08,0.0008109906921163201
2026-06-04,0.00027209363179281354
2026-06-13,0.000346255925251171
2026-06-16,0.00024842616403475404
2026-06-15,7.879826443968341e-05
2026-06-19,0.000617013851297088
2026-06-18,6.541703623952344e-05
2026-06-14,-2.812019010889344e-05
2026-06-17,0.0002709168547880836
2026-06-12,
2025-10-18,-0.00018426034148433248
2025-10-19,-0.00028443807968869805
2025-10-22,
2025-10-16,0.0002828870783559978
2025-10-20,
2025-10-15,7.24953570170328e-05
2025-10-21,
2025-10-17,
2025-11-20,
2025-11-19,
2025-11-17,0.0003661376831587404
2025-11-22,-0.00034423539182171226
2025-11-23,
2025-11-18,-4.5740598579868674e-05
2025-11-21,
2025-11-16,
2026-03-26,
2026-03-30,
2026-03-24,
2026-03-31,
2026-03-28,-0.00040169397834688425
2026-03-27,0.000202044644538546
2026-03-25,
2026-03-29,0.00010574026964604856
2026-07-21,0.00020658771973103285
2026-07-15,-9.494397090747952e-08
2026-07-20,-0.00020903242693748325
2026-07-17,2.491701889084652e-05
2026-07-16,0.0001456163481634576
2026-07-14,0.00010719361307565124
2026-07-19,0.0001569019659655169
2026-07-18,-0.0002294524747412652
2026-07-28,0.0002165052792406641
2026-07-24,0.00026146136224269867
2026-07-25,0.0003882079472532496
2026-07-26,0.0001386311669193674
2026-07-22,-1.5948433429002762e-05
2026-07-29,-3.030520565516781e-05
2026-07-23,-0.000230576941248728
2026-07-27,-8.964279550127685e-05
2025-09-03,-4.622305277734995e-05
2025-09-04,0.00032054149778559804
2025-09-02,0.00016529986169189215
2025-08-31,0.0004046132817165926
2025-09-01,0.00028406595811247826
2025-09-30,
2025-10-01,
2025-10-02,-4.861418346990831e-05
2025-10-06,-0.0001322461394011043
2025-10-04,-0.00031251032487489283
2025-10-03,8.895302744349465e-05
2025-10-05,9.1852416517213e-07
2025-09-29,-9.01813036762178e-05
2026-04-06,5.251192260402604e-05
2026-04-02,
2026-04-05,1.7391572328051552e-05
2026-04-04,1.6699944808351574e-05
2026-04-08,
2026-04-01,7.179505155363586e-05
2026-04-03,0.0006282749818637967
2026-04-07,
2026-08-16,0.00015393254230389175
2026-08-21,0.0003637622867245227
2026-08-18,-5.958525980531704e-05
2026-08-15,4.111527141503757e-05
2026-08-19,0.000111804769403534
2026-08-22,6.175532689667307e-06
2026-08-17,0.00013411179816102958
2026-08-20,0.00027955912082688883
