date,O3,CO,NO2,SO2
2025-11-15,0.1164611406624317,--,--,--
2025-11-20,0.1151088198026021,--,--,--
2025-11-19,0.1152810568610827,--,--,-6.758325293453204e-05
2025-11-17,0.1157956331968307,0.02572963386774063,--,6.451240291685931e-05
2025-11-22,0.1149897063771883,--,2.6731953767011873e-05,-2.5702669518068433e-05
2025-11-23,0.1133083872497081,0.030206927231379917,2.4294882314279677e-05,3.072886399670758e-05
2025-11-18,0.1149182756741841,--,5.210603558225557e-05,-5.1852124064074206e-06
2025-11-21,0.1140280087788899,0.029204687103629112,--,--
2025-11-16,0.1174230302373568,--,--,--
2026-03-19,0.1130956076085567,0.02724095806479454,--,0.0006638426954547564
2026-03-16,0.1156163511176904,0.032035455621522047,2.757127471600792e-05,3.9155078896631795e-05
2026-03-21,0.1139752236505349,0.01922480178915936,1.685574742233647e-05,-9.315403682800631e-07
2026-03-22,0.1141541776557763,0.02686443112113259,--,0.00012137597271551688
2026-03-23,0.1160565165181954,0.027981022993723553,2.1913645799610425e-05,2.947057886370297e-05
2026-03-20,0.1150009666879971,0.0242302343249321,1.3430816276619831e-05,-9.309239103458822e-05
2026-03-17,0.1146165341138839,0.026243860522905987,2.8332297612602513e-05,0.0001580520571830372
2026-03-18,0.1141997131208578,0.02570531584999778,3.15002641097332e-05,-0.00012285346523500406
2025-09-03,0.11421831275026,0.024171475569407144,3.6173919215798375e-05,0.0001092690664033095
2025-09-04,0.1133950675527254,0.03106275200843811,3.6542044571516186e-05,0.00046573909930884837
2025-09-02,0.1150818405052026,0.023866513501042904,2.2556500819822153e-05,3.369446300591032e-05
2025-08-29,0.1130683389802773,0.026471381187438966,2.507879071345087e-05,2.627389282376195e-05
2025-08-30,0.1155830810467402,0.030179724097251892,4.409124644903036e-05,0.00018032719022952593
2025-08-28,,0.023142453696992662,2.3822699930812968e-05,5.1368529017528765e-05
2025-08-31,0.1165604827304681,0.02480316534638405,3.073554790507142e-05,-0.00010524934623390436
2025-09-01,0.1157670286794503,0.027895037333170572,3.4504447184089157e-05,0.0004357043986341783
2025-09-16,0.1149866367379824,--,--,0.000264204911548983
2025-09-18,0.1128297813236713,0.02848142385482788,--,-7.297024421859533e-05
2025-09-15,0.1157304974893728,0.030939902578081404,3.603407710145872e-05,0.00010857025447946328
2025-09-14,0.1155358319481213,0.02943451205889384,2.9294053092598915e-05,0.00015859967097640038
2025-09-19,0.1134715554614861,0.02443792040531452,3.080297261476517e-05,5.721800995093805e-05
2025-09-13,0.1150535265604655,0.03507343653974862,4.302935364345709e-05,8.898798335829507e-05
2025-09-17,0.1147635129590829,0.031182706356048584,4.856658051721752e-05,9.131028491538018e-05
2025-10-01,0.1123801300923029,0.02928931896503155,3.0412693377002142e-05,-0.0001974751939997077
2025-10-02,0.1154312300185362,--,5.038319172204605e-05,-2.394472248852253e-05
2025-10-06,0.1187611284355322,0.038259339332580564,4.1174847865477204e-05,4.858755661795537e-05
2025-10-04,0.1149404893318812,0.035836414496103926,4.895080664110455e-05,0.00016040820628404617
2025-10-03,0.1164180134733518,0.030549718936284383,3.125881526752242e-05,7.515844689416034e-05
2025-10-05,0.1163518361747264,0.028011322021484375,3.342441050335765e-05,0.00013095045772691568
2025-09-29,0.1164935700595379,0.03156337473127577,3.999657928943634e-05,1.0211229285535714e-05
2025-10-27,0.1167485495408376,--,--,--
2025-10-23,0.1167349996666113,0.03267727792263031,2.8336248457587015e-05,7.281495808539066e-05
2025-10-29,0.1166679824392,--,--,--
2025-10-26,0.1181229047477245,0.03477459649244944,--,--
2025-10-28,0.1135977037250995,--,--,0.0002301018248545006
2025-10-30,0.1173968695104122,0.029080022936281952,3.9271783963259724e-05,-2.0469273295020685e-05
2025-10-25,0.1168424665927887,0.0324192579303469,--,--
2025-10-24,0.11667106077075,--,--,0.0008225450292229652
2026-01-23,0.1122577279806137,0.02957138419151306,--,--
2026-01-25,0.1131950135032335,0.026529053846995037,-9.513885743217543e-06,8.845589763950557e-05
2026-01-19,0.1140687376260757,0.029049427509307862,2.0891212012716814e-05,4.916236503049731e-05
2026-01-21,0.1127082784970601,--,--,-7.21509907937919e-05
2026-01-22,0.1113161315520604,--,--,--
2026-01-26,0.1130378062526385,0.028333932161331177,--,9.404496813658625e-05
2026-01-20,0.1121788178881009,0.02450773947768741,--,1.615027819449703e-05
2026-01-24,0.1128092013299465,--,--,--
2026-03-08,0.1130821960667769,0.0332893542945385,--,--
2026-03-09,0.1136328034102916,0.03562097549438477,2.51054511560748e-05,-2.423764332585658e-06
2026-03-12,0.1139226188262303,0.02467447767655055,2.329647638058911e-05,-0.00023279273591469973
2026-03-10,0.1139313211043675,0.03129350021481514,2.3296389554161578e-05,-6.005335211132963e-05
2026-03-13,0.1145123211046059,0.025448240836461387,2.1474088211298774e-05,9.594069221445048e-06
2026-03-15,0.1157105989754199,0.03136926889419556,1.583165516529013e-05,6.196334725245833e-05
2026-03-11,0.1129799385865529,--,1.3086406397633255e-05,-4.1217539304246506e-05
2026-03-14,0.1152404961486657,0.027018441756566366,2.572629212712248e-05,7.111132144927978e-05
2026-03-26,0.11525950456659,0.0259427676598231,3.171577658836863e-05,5.659182179009631e-05
2026-03-30,0.1158233801523844,0.024427741765975952,--,7.76594242779538e-05
2026-03-24,0.1159639224410057,--,--,2.3118431933901526e-05
2026-03-31,0.1172937825322151,--,--,--
2026-03-28,0.1167612977325916,--,--,-0.00011603727471083402
2026-03-27,0.1180316473046938,--,2.79662037630462e-05,-0.00012986171059310437
2026-03-25,0.1168775600691636,0.026057002799851552,--,--
2026-03-29,0.1166853763163089,0.031285162766774496,3.821240970864892e-05,0.00031370995566248894
2026-06-13,0.1115027996400992,0.030627705653508506,4.6713515819812365e-05,0.00014793778037918464
2026-06-16,0.1151193226377169,0.03194386561711629,4.7301594167947766e-05,0.000292302557052328
2026-06-15,0.1132631060977776,--,3.97775461897254e-05,0.00024655517190694807
